Sentence,Tense
well what are you cooking down there,1
cooking water,1
what are you going to use the water for,3
oh,0
Adam swimming,1
do you want Mommy to take the whistle and put it up,1
it's here but not when you wanna throw it,1
when you throw it it hurts your head,1
don't throw it,1
you'll hurt Mr Cromer's head,3
you'll hurt Ursula too,3
you'll hurt the suitcase too,3
what did you hit that time,2
you hit the floor,2
do you think you hurt the floor,1
hurt your knee,2
how did you hurt your knee,2
on the chair,0
how did you hurt your arm,2
you hurt your arm on the chair,2
pick the play toys up,1
that's a good boy,1
is that yellow,1
no that's not yellow,1
one part is black and the other is silver,1
the papers are yellow,1
is that yours,1
who is Adam,1
thank_you,1
what are you checking,1
that's a radiator,1
there is another one in the kitchen,1
the other is hot,1
don't fall pencil,1
I don't hurt myself thank_you,1
thank_you,1
time for bed,0
is it time for bed,0
for whom,0
for Mommy,0
it's not time for bed for Adam,1
are you saying Bambi,1
over there,0
oh you're going to show Ursula,1
Bambi,0
what happened to Bambi,2
Adam you give Bambi a ride,1
on your foot,0
do you think he likes that,1
alright you read book,1
ups_a_daisy you dropped your shoe,2
he ate his dinner on this table last night and he dropped some beans,2
Papa bear,0
yes,0
did you see bunny,2
the deer looks like Bambi,1
bunny running,0
Mr Bear picked up the nails and carried them back to the woods,2
if he's not careful yes they will stick him,1
Mr Bear is dancing,1
he's dancing,1
Mr Bear is dancing,1
I just read them,2
now you take them over to Ursula,1
they're Ursula's books,1
no I just read them,2
you dropped a book,2
why don't you pick the books up and take them over to Ursula,1
poor Ursula,0
she needs her books,1
poor Cromer,0
mine,0
what's yours,1
what's that,1
no that's a lion,1
hungry lion,0
that's from the,1
Saggy Baggy Elephant,0
hungry lion,0
jelly,0
oh thank_you,0
dear,0
doggie,0
lion,0
doggie,0
you tell me,1
okay,0
you go tell Ursula then,1
I thought you were going to tell her,2
you hafta take it over there where she is,1
oh you're going walking,3
alright,0
did you step on the book,2
that's alright then if you didn't do it on purpose,2
lion,0
he's hungry,1
what did you show her,2
grapefruit,0
hm,0
you turn it around,1
I don't think that really goes there do you,1
yes that's pretty,1
one pretty,0
no just leave it there on the bench,1
off Perro,0
oh,0
yes it's alright,1
what's so funny,1
knock over,1
go over,1
do you think that belongs there,1
yep,0
is that what you do with your brush,1
you're turning it over,1
you're turning it around,1
around,0
turning it around,1
that's your brush,1
that's not a hammer,1
that's not a hammer,1
what makes you think that's a hammer,1
oh it looks like a hammer,1
what is that,1
that's not a doggie,1
no that's a deer,1
oh you're a big boy,1
why are you turning that,1
now where are you going with his briefcase,1
well yes it's heavy,1
what are you brushing,1
brushing what,1
you're turning it over,1
what else,0
sandwich,0
oh you hurt your head on the table,2
that's right,0
chair,0
the chair didn't hit your head did it,2
no the head hit the table,2
that's right,0
did you step on the books,2
Perro's going to read the book,3
oh Adam will read the book,3
you're excused,1
turn what over,1
good morning,0
good morning,0
good morning,0
I thought you were going to read to Perro,2
here Perro Adam's going to read you a story,3
grandfather,0
good morning to you,0
what are you doing,1
oh laughing,0
what did Donald_Duck safety book say,2
you don't play with plugs do you,1
you don't play with cords either,1
put it down,1
no,0
no it doesn't go there,1
you put it where it belongs,1
yes,0
no,0
yes,0
that's right,0
you don't play with matches either do you,1
yeah you dropped it,2
ups_a_daisy,0
what are you doing,1
three,0
well what happened to five six seven,2
you don't know,1
where did what go,2
that's no broom,1
that's brush,1
oh it looks like a broom does it,1
what makes you think it looks like a broom,1
I can't put it together,1
you hafta go get the car,1
you're welcome,1
what happened,2
yes that is pretty,1
does it go there,1
what tickled,2
what got tickled you or the car,2
yep,0
you're turning it over,1
oh funny,0
what happened,2
car dropped,2
you missed that,2
I see it,1
I see it,1
what's he going to sit against if you take all the pillows off,1
how can he sit comfortably if you take all the pillows off,1
you don't know,1
you're going to give him one,1
who uses a pillow on the floor for exercising,1
all finished with your exercises,2
why don't you put the pillows up,1
saggy baggy,0
do you see a seal,1
is that a seal,1
cat,0
what are you doing,1
what are you writing,1
oh you're writing Cromer,1
food for growing a carrot,0
food,0
what happened,2
you dropped your pencil,2
you have some paper,1
somebody what,0
where's somebody's paper,1
no give her her pencil back Adam because you've been breaking pencils lately,1
byebye birdie,0
what kind of bird is that,1
here's my mail from this morning,1
letters the mailman brought,2
that's a flute,1
there's enough room for you to sit there,1
alright,0
get up there and sit down,1
oh you wanna watch it,1
I'm sorry,1
I don't think that's yellow,1
yellow,0
if that's yellow what color is this,1
don't do that,1
you'll bend it,1
and Daddy won't like it at all,3
just touch that,1
oh no you don't turn anything,1
no,0
because it will disrupt the machine,3
here a hammer,0
oh that's not a hammer,1
what's that on it,1
oh Chicken_Little,0
where did you see Chicken_Little,2
did you tell Mr Cromer what that was,2
you do,1
well what is it that you love,1
what is it,1
chewy,0
chewing what,0
that's not a hammer,1
did you say thank_you to Ursula,2
would you say thank_you to David and Robin for me,1
what does a windmill do,1
sounds like,1
cracker,0
silly boy,0
yes you hafta blow your nose don't you,1
that's a nice flute,1
no that's a flute,1
it's round like a roller but it's a flute,1
it's just from the rug honey,1
oh turning like a windmill,1
what else has wings like that,1
fish,0
hammer,0
oh here it is,0
what is that,1
part of your car,0
what,0
poor Adam,0
did you hurt yourself,2
screw happened,2
you didn't even have a screw,2
you didn't have a screw,2
you peekaboo back out in the kitchen with your juice,1
is that juice,1
table,0
get broom,1
what's all_gone,1
collar,0
color,0
kitty,0
oh you're going to draw a picture,1
no it's not broken,1
one at a time,0
one at a time,0
well he doesn't want that paper,1
he has some nice paper,1
just checking,1
does it fit there,1
does it fit that way,1
does boy,1
go out in the kitchen and get a napkin and wipe it off,1
where did you put it,2
no Adam I'll hafta take the flute away if you do that,3
it's not hollow all the way down,1
look in that way and it's hollow,1
it doesn't come out down there at the other end,1
how many ends does it have,1
it doesn't belong there just because there is a little hole,1
a little hole,0
that doesn't belong there either,1
you spilled your juice,2
no,0
tell Ursula you're sorry,1
what did you put it in the suitcase for,2
shall we do a game,1
yes,0
sit on the rug,1
she dropped the papers,2
his face cloth got stuck in the drain,2
it got stuck in the drain,2
what is that,1
are those too many Adam,1
what is that,1
is that the way it goes,1
do you have a bed like that,1
you saw the pictures,2
who is that,1
where did you see a giraffe last night,2
in the kitchen,0
no you saw a giraffe on the television,2
what is that,1
that's a kangaroo,1
what is that,1
what is that,1
sitting on what,0
something that's cold,1
ice,0
what is that,1
pliers,0
here's a leopard,1
look at this,1
that's a reindeer,1
what did you say that was,2
what is that,1
what is that,1
what,0
roller,0
what is this,1
oh taking a shower,1
that's a lion,1
hungry lion yes,0
that's right,1
he jumped up in the air and turned around and ran away as fast as he could go,2
what did you say those were,2
penguins,0
what is that,1
oh close the mouth,1
that's a hippopotamus,1
that's a porcupine,1
that's a knife now,1
what does the knife do,1
cock_a_doodle_doo,0
who says cock_a_doodle_doo,1
who is that,1
that's a monkey,1
what is the monkey eating,1
eating crayon,1
what is this,1
rhinoceros,0
what is he,1
that's a fox,1
what's that,1
what is he,1
that's a panda,1
what's that,1
what is that,1
his legs are strong,1
sing a song,1
I don't think that car is broken,1
what are you doing,1
oh,0
fixing the shoe,1
who fixes shoes,1
who me tickle,1
who tickle me,1
I tickle you,1
what's that,1
do you know his name,1
no name,0
is that pretty,1
what is that,1
what is that,1
trunk,0
that's the elephant's trunk,1
where are his feet,1
how many feet,0
how many eyes,0
ten eyes,0
oh my that elephant can see everything can't he,1
yes you did miss,2
yes you missed,2
what happened,2
oh is that a train whistle,1
what's its name,1
oh it's a horn,1
hole,0
that's what makes it whistle,1
is that a pipe,1
there's a shell on the end,1
no,0
he's checking his watch,1
make a noise,1
go and ask Ursula about that,1
what happened to the paper,2
kangaroo,1
who had a whistle like that,1
no it's tape,1
how many are there,1
oh no she doesn't need that now,1
jack yes,1
where are the pennies,1
you don't know,1
I don't know,1
I hear them but I don't see them,1
you'd forgotten you had the cap on top,2
potato,0
potato,0
turkey pie,0
what about turkey pie,0
it was hot and he put it in the refrigerator the cup,2
sardines,0
no not sardines sardines,0
what about turkey pie,0
do you like turkey pie,1
turkey pie,0
turkey pie,0
did you find the penny,2
no,0
don't touch,1
don't touch that,1
no Adam,0
what is the reel of tape doing,1
it's going around,1
down first,0
turkey pine go,1
turkey pine for,0
what's that,1
a star yes,0
not Texaco star,0
all stars don't belong to Texaco,1
what's this,1
what's that,1
apple cider,0
what are those,1
corn,0
what's this,1
Chicken_Little,0
that's not Chicken_Little,1
apple cider,0
what's that,1
you've never seen one of those have you,2
spider yes,0
spider in the book,0
potato,0
what are you doing Adam,1
shopping,1
what did you say,2
cranberry what,0
would you like some cranberry juice,1
would you like some,1
did you ask Ursula about the shell,2
the coffee pot,0
oh is this a train whistle,1
what does the train whistle tell you to do,1
where did you get my thread,2
where did you get it,2
see it yes but don't take it off,1
no play with that hurt self,1
why will I hurt myself if you won't hurt yourself,3
that's yours,1
I'll hurt myself if I play with your toy,3
is that right,1
play with mommy's slipper,1
what slipper,0
people,0
did you say thank_you to Ursula,2
that's not Ursula,1
no that's a microphone,1
e e o what,0
Adam your juice is out here,1
play momma's slipper,1
who does,1
oh the dog,0
what's the doggie's name,1
what,0
the doggie plays with mommy's slipper,1
you going to let the doggie talk on the microphone,3
big and strong,0
who is big and strong,1
Cromer is big and strong,1
come from,1
who is Joey,1
play with momma's slipper,1
who plays with momma's slipper,1
who does,1
what,0
something about feet,0
whose feet,0
oh,0
Cecile,0
Cecile,0
are you being a little doggie,1
oh you're playing with the slipper,1
that's a train,1
excuse me,1
where are you going,1
she didn't say tape recorder,2
she said cork,2
part of the tape recorder,0
tape recorder,0
that's not a taper,1
it's a tape recorder,1
this is a microphone,1
no that's tape,1
mittens,0
you dropped your mittens,2
you dropped your boots,2
you dropped your mitten,2
oh,0
that's right,0
you dropped your boot,2
who lost their mittens,2
oh you dropped your boots,2
roadgrader,0
what about a roadgrader,0
what's right,1
what's right,1
careful Adam,0
keep mitten on,1
careful honey,0
careful of the tape recorder,0
tape recorder,0
oh that's the mitten,1
whose mitten is that,1
little boy's mitten,1
what's the little boy's name,1
little boy sleeping,0
what's the little boy's name,1
Smith,0
where does the little boy live,1
lives in a house,1
where's the little boy's house,1
right there,0
oh,0
you're going to put it together,1
what are you going to do now,1
oh you dropped your mitten,2
sleeping in the bed,1
Adam don't put that back there,1
take your wrench out,1
wrench,0
didn't Daddy say don't play back there,2
sit here on the side if you wanna,1
no down there,0
what's the matter,1
where are your pliers,1
you're sitting on the cord,1
why do you wanna play over there,1
what do you have,1
well get down and get it,1
what,0
yes Daddy said don't go back there didn't he,2
yes but it's alright if you drop something,1
yes chatter what's the matter with you come out,1
poor Adam did you hurt your head,2
well did your head belong under there really,2
oh your head is still there,1
can you tell what happened,2
what happened,2
where is the other part of your train,1
didn't you drop your pennies on the floor,2
here it is,1
like sookie,0
running with bread,1
well why don't you take the bread back out to the kitchen,1
Adam,0
you imp,0
come on choo_choo,1
choo_choo,0
oh does it stop for a street light,1
nine four,0
no thank_you,0
what is that,1
what is that,1
talking about the lady,1
what lady,0
what do seals eat,1
eat supper,1
what do they have for supper,1
milk,0
do they like milk,1
I don't think you need any more,1
see the seal I,1
can you say that,1
see the seal I,1
what can you say,1
see the seal I,1
oh that's right,0
sure there,0
cowboy's knee is the same way,1
close eye,1
it's not nice to tell jokes to yourself in company,1
trash can,0
you dropped it in the trash can,2
oh no the top didn't fall in,2
where is the top,1
no the top is on the floor,1
wears Adam two shirt,1
go to bed,1
pliers,0
what do you use the pliers for,1
oh you use the pliers to cut flowers,1
where are the pencils,1
right where,0
right there where,0
where did the pencil go,2
why are the pencils in the refrigerator,1
one,0
one for Adam,0
he's trying his new words out,1
has Adam two pencils,1
cowboy wear boots,1
oh you wear boots,1
where,0
in the snow,0
you wear mittens in the snow,1
say do you like ham,1
Adam can you say this goes Cromer to school,1
go to Ursula's school,1
where is snow mitten,1
they're in the drawer upstairs,1
upstairs,0
where are you going,1
get mittens and hat,1
where are you going when you get the mittens,1
Adam what are you doing,1
no what,0
oh you don't wanna tell me what you're doing,1
alright,0
same color,0
what color is that,1
red and blue,0
which one is red,1
which one is blue,1
don't sit on Mr Cromer's briefcase,1
get up,1
yes,0
up off his suitcase,0
what,0
who fell down,2
don't you think those things take up lots_of room,1
pretty seal,0
yes he's pretty,1
there it is,1
what's Catherine doing,1
Catherine's eye,0
you knocked the seal over,2
you hafta pour the water out,1
thank_you,1
does this make a noise when you pour it,1
nothing,0
Cromer isn't doing a thing,1
carry fire,1
I don't know,1
where is it,1
fire,0
oh,0
mittens on,0
you're saying no now,1
Peter Piper picked,2
what are you doing,1
you didn't say fight fire did you,2
it sounded like freight,2
the chair,0
people take wood and put it together and make a chair,1
you need a saw,1
you need carpenter's tools,1
what happened to the hammer,2
where you going to put it,1
where's the top to it,1
I see your hammer,1
rock a bye baby in the treetop,1
do you wanna sing a song for Ursula and Cromer,1
don't stand on the chair,1
you'll break if it you stand on it that way,3
oh it's an airplane,1
oh is there a nail there,1
your book is in the same place is there a nail there,1
I don't think there is one here,1
don't get on the chair,1
you'll break it,3
what did Mommy say,2
you didn't hit your nose you hit your mouth,2
you sit on the chair and I'll rock you,1
I can't rock in this,1
if you sit in that chair,1
yes because I moved the coffee pot and it hit your head,2
you're going to show her something in the bag,3
don't you have something to show her,1
don't go in her bag,1
I think she has everything out to show you,1
what is it Adam,1
fire engine,0
do you think maybe Robin put that in her bag,1
that's Ursula's,1
there's your pencil,1
talk to Ursula Mommy,1
don't you have something to tell her,1
how can she write when you're on her paper,1
no Adam,0
Yogi's riding in the car,1
what color is the car,1
orange,0
what is that up there,1
friend's bicycle,0
no that's a car,1
what's on the other side,1
no that's not Yogi,1
those are two other bears,1
that's a disk,1
a disk from a game,0
from a game,0
part of a game,0
that's probably David's game,1
it's at his house so he can play with it,1
David is Ursula's little boy,1
well maybe he doesn't play football,1
he's probably too little to play football,1
can you tell them about the football game you saw Sunday in the rain,2
it was raining,2
were the men clean or dirty,2
clean,0
when they fell down what happened,2
he does look like Yogi,1
boots catch water in the rain,1
wear mittens in the snow,1
Adam I'm sure you didn't say ride on a ship,2
what did you say,2
ship,0
oh boat,0
you mean boat ship,1
that's not my hair,1
what is that,1
that's not a pin,1
look at it,1
two same way,0
that's an orange seed,1
what did you make the noise for,2
you're jabbering,1
when it snows you'll wear mittens in the snow,1
wear mittens in the snow,1
Adam can you say,1
I don't wear mittens,1
when it snows,1
in the snow,0
where will you go in the snow,3
the mittens will go in the snow,3
well where will you go,3
go in the street,1
go in the street trying to find the moon,1
what's in there,1
when did you put the pencil in there,2
yesterday,0
is it alright,1
you ran into Mr Cromer's feet,2
that's right,1
did you hit something,2
that's a round disk,1
round disk,0
poor David because he lost a piece,2
did I throw it away or did his Mommy throw it away,2
no one has thrown it away,1
David has fun when he plays,1
yes,0
little boy play with David,1
piece of pie,0
d three ten,0
is that your license number,1
if you want it to,1
one is a car and one is a what,1
oh,0
Adam dropped the choo_choo train,2
you're going to build the house,3
oh you're going to build another house,3
oh you made a street light,2
you're looking for what,1
for what,0
oh,0
looking for Cromer,1
did you find him,2
find him,1
no you didn't,2
didn't,2
little seed,0
ice,0
that's good ice,1
mine's lemon,0
what kind of ice is yours,1
you dropped it,2
it's so tiny you hafta be careful,1
it's gone down the street,2
did you see that one,2
looks like Adam's truck,1
too tiny,0
careful Adam,0
you what,0
do it again,1
oh silly peekaboo,0
you a jack,0
this is a fire hydrant,1
no just pretend,1
don't put it in your mouth,1
don't do that,1
track train,0
train track,0
no,0
put them back on the board,1
yes,0
over here on the train track,0
yes,0
yes the train is coming over to the tracks,1
come on,1
put the trains back on the table,1
ball,0
where,0
can you get it,1
I don't see a ball,1
where,0
ball,0
careful,0
did you find it,2
shame on me,0
who bit the doggie's boot,2
nineteen twelve,0
oh cowboy spills milk,1
in his boot,0
the doggie bit you in your boot,2
doggie bit me shame,2
would you show that to Ursula,1
what about the milk in the boots,0
no dipping vat,0
what,0
sleeping dinosaur,0
that's heavy,1
what's heavy,1
does he have spurs,1
no she said draw a boot on the paper,2
no she didn't say draw on a boot she said draw a boot on the paper,2
that's right,1
draw a boot on the paper,1
but you're drawing on the boot,1
little what,0
what about the little doggie,0
did you break the pencil,2
where did you get that,2
nineteen twelve,0
what does that mean,1
talking to Mr,1
Cromer nineteen twelve huh,0
ouch doggie,0
there was something else that was shaped like this and he read it like a grocery list,2
who,0
oh after supper,0
thank_you,1
does everybody have ice,1
the doggie ate all of his ice,2
he likes ice,1
oh just like the cowboy's,1
listen to what,1
go pick them up,1
okay pick those up,1
we'll put them up now,3
don't put them on the floor Adam,1
oh that's for the doggie,1
no now pick the doggie's up,1
he's finished,2
can you tell me a story about nineteen twelve,1
oh you fell down,2
did you hurt yourself,2
where did you hurt yourself,2
you fell down on Mommy's rug,2
play with cowboy's cigarette,1
you dropped some under the table,2
see those,1
oh that one,0
what for,0
this,0
cowboy,0
branding a cow,0
rodeo,0
yes it is heavy,1
part of the fun of being a cowboy is to ride a cow horse,1
oh I'm the cowhorse and you're the cowboy,1
what are you laughing about,1
cowboy what about the grin,0
www,0
what is that nineteen twelve,0
no,0
are you going to draw a picture for us,1
oh Cecile and Catherine,0
Cecile and Catherine,0
they're his baby,1
you're talking about the cowboy,1
a children's program,0
he said,2
Daddy's Gil Smith talking about roadgrader,1
I don't know what all the other was,1
what a pretty butterfly,0
oh I scratched my arm with the needle,2
yeah,0
you dropped your pencil,2
Adam touching paper,1
the other was something about Christmas and Adam eats peas,2
no Adam where are you going,1
what are you doing Adam Smith,1
what are you talking about a roadgrader for,1
what,0
fell down on his face,2
what,0
llama,0
beep beep pencil,0
what is the cowboy's name,1
named what,0
what's the cowboy's name,1
what about the taper,1
oh you're waking up,1
boot on,0
you're tired,1
are you ready to go to bed,1
oh you made a mistake did you and said yes,2
time to go to bed,0
oh why not,0
why aren't you ready to go to bed,1
well take one back to her,1
give her one that's good,1
yeah she needs that,1
I thought you said that pencil was no good,2
Adam you put it through the paper,1
look at the back of the paper,1
the paper is torn,1
why don't you come over here and do that to your paper,1
mhm,0
is that a tunnel,1
it's a tunnel,1
a tunnel,0
it's still there,1
you took the pencils out,2
no,0
because that's part of this toy,1
you put the pencils on the floor,2
my_goodness how many pencils do you have,1
he doesn't watch Bozo,1
and his nose doesn't squeak like Bozo's,1
you what,0
wait let me tie it,1
I've got a dripping mouth,2
fasten the button,1
he doesn't wanna blow,1
you blow,1
no Adam,0
you blow it,1
now put it down,1
what,0
I don't know,1
afternoon,0
it's afternoon yes,1
what do you say Adam,1
what's he saying,1
what are you doing Adam,1
oh mixer,0
are you ready for your lunch,1
you are,1
I don't think so,1
we'll save the sandwich for later,3
what about a bumble bee,0
bumble bee standing on Cromer's feet,1
are you in a parade or in a band,1
what happens if you turn around like that,1
you broke your horn,2
mhm,0
see where you broke your horn,2
no here,0
yes you broke it,2
yes you fell down and broke your horn didn't you,2
you've broken it,2
what is that,1
you put them in your bank remember and it broke your bank,2
he broke his bank and he's showing it to you,2
is that a penny,1
he calls a dime diamond,1
heavy,0
you what,0
what are you doing,1
oh you're painting,1
what color,0
green,0
no you don't play with that,1
that's a can opener,1
opener,0
you don't play with it,1
why don't you play with it,1
it's sharp,1
like a knife,0
no Adam,0
no,0
don't put that in your mouth,1
do you want Mommy to take it and put it up,1
you made it all up,2
hit me ball,1
pick your cowboy book up,1
you'll break it,3
then what will you do,3
then what will you do if you tear your cowboy book up,3
laughing about what,1
laughing about Cromer,1
flamingo,0
birdies fly,1
you're singing a song,1
what song are you singing,1
banana,0
can you sing it for me,1
don't do that again Adam,1
don't do that again,1
okay don't do it again,1
you're singing a banana song,1
where are you going to blow,1
he's correcting your pronunciation,1
drawing a cowboy,1
does he have boots,1
number train,0
Adam what are you doing,1
you're going up the hill,1
he hasta write with that,1
you've got paper over here,2
you hurt your arm,1
you hafta be careful,1
Adam what are you doing,1
what are you doing with the hot water,1
what do you want water for,1
no you put that back,1
what do you want more for,1
mhm piece of paper,0
what is it,1
baby pig,0
the other was a cow I think,2
oh maybe so,0
moo cow,0
seal,0
strong as Mickey_Mouse,0
penguin,0
doggie,0
doggie right there,0
cowboy too,0
look somebody find something,1
push that there,1
blow nose,1
no,0
his nose won't squeak,3
no,0
her nose won't squeak either,3
Adam,0
no he's not Bozo,1
Adam no honey,0
squeeze your own,1
let's hear your nose squeak,1
Adam no his nose doesn't squeak,1
tickle he's not ticklish,1
push what,1
down cheek,0
Adam play,1
can you tell Mr Cromer what you rode on,1
what did you ride on,2
not write ride,1
taxi car and what else,0
you rode on tippy,2
what is tippy,1
Bozo Popeye,0
can you tell Mr Cromer about the train and about the airplane,1
what,0
chocolate,0
have some chocolate,1
chocolate in there,0
have some drink it,1
play squirrel,1
we saw some squirrels outside playing this morning,2
Adam where were the squirrels playing,2
did you tell her that you didn't like it,2
no you wanted to take it off didn't you,2
the airplane was ready yes,2
what else do you remember about the airplane,1
nothing,0
tickling again,0
do you remember what was going around and around on the airplane,1
oh what happened,2
you knocked it off,2
what did you did,2
Adam did,2
what is that,1
what is the pencil of Cromer doing,1
nothing you have it in your hand,1
why don't you give it back to Mr Cromer,1
what,0
who brought that,2
Ursula brought that,2
I don't know why he's remembering who brought what all of a sudden,1
careful,0
what happened,2
careful,0
what,0
after supper ball,0
careful Adam you don't throw the ball when Ursula's not looking,1
tugboat,0
meow,0
what's the name of that book,1
kittens,0
buckets,0
bumble bee,0
what color is this,1
the sun fall down,1
well yes it looks like it,1
eating supper,1
do you remember what they're having for supper,1
not cranberries,0
plums,0
how about this one,0
kitty's foot,0
it's a kitty,1
the pants,0
that's a kitty's foot,1
those are his paws,1
what is that,1
I think that's still the sun,1
and what is this,1
what do you see when you're standing up and the sun is shining,1
these are the buildings and what is this,1
paper towels,0
no let him write,1
alright,0
where did it go,2
what,0
cowboy's got the boot on,2
he's got the boots on,2
no what,0
careful Adam,0
what happened,2
fell down,2
you're going to hurt yourself,1
I see some pennies that you dropped from your pocket,1
pennies in there,0
I don't think so,1
I see some pennies on the floor,1
you dropped them,2
them,0
don't tear the paper Adam,1
proper,0
he hasta get it proper,1
you dropped it,2
Adam I thought you were to write on the other side while he's writing on that side,2
you write on the other side,1
yes that's your side,1
no that's Mr Cromer's side,1
you picked a side,2
why don't you write with this pen,1
no,0
why not,0
wake up,1
what kinds of eggs are those,1
oh those are dancing eggs,1
alright you're a dancing Easter egg,1
what happened to this one,2
no don't write in your book,1
what,0
something jump,1
airplane jump,1
who jumps from the airplane,1
what happens when you turn around,1
airplane goes around like that,1
you're dripping,1
you lost a shoe,2
pen,0
that is pencil,1
pen,0
what,0
you'll get dizzy again,3
you're going to fall,3
fall soon,1
soon,0
fall shoes,1
what do you mean,1
Cromer fall shoes,1
that's your car,1
you jumped,2
what about what,0
two cars,0
how many trucks,0
look seat,1
cowboy fell down,2
what happened,2
yeah go on,0
that's right,1
oh you're stopped for a street light,2
how can you drive three trucks and take a horse too,1
four trucks,0
where's your fourth truck,1
what about the one you're sitting on,1
broken,0
the one you're sitting on is broken,1
flower,0
hammer,0
you put it together again,1
you're a big boy,1
Adam's Adam's what,0
then,0
en,0
now put them on while it's on its side,1
press it down,1
is it on properly,1
doughnut,0
press it down there,1
that's right,1
wheels in the air,0
now what do you hafta do,1
trash truck broken,0
what kind of truck is broken,1
this truck,0
you hafta take one off to put it on,1
on,0
now put it through,1
press hard,1
sitting,1
you're going to sit on it,1
wheel broken,0
no I don't think it's broken now,1
no I don't think that one's broken,1
no that's not broken now either,1
either,0
why don't you move your horse before you break it,1
horsie's crying,1
why is he crying,1
playing,1
racket playing,1
racket pushing,1
you're pushing it with the racket,1
oh you're pushing it through the tunnel,1
let's turn it on its back like they do at the garage,1
yes you missed it,2
oh is that your garage,1
can you say,1
excuse me please,1
good morning who,0
I you are,0
oops,0
what happened,2
you picked some things up then,2
you picked some things up there,2
you naughty are,1
Adam wouldn't you like to ride on the blue truck instead of the red one,1
you're sitting on the red one,1
wouldn't you like to sit on the blue one,1
that's the blue,1
the wheel from the blue one won't come off,3
yes you fell down,2
you fell down on the blue one,2
you're riding over your book,1
what,0
what,0
garage oh I'm sorry,1
go in there,1
no that's red,1
the other one's the yellow one,1
perhaps you shouldn't ride that one because the wheels seem to come off too easily,1
pinwheel,0
that's your new garage,1
that's a nice one,1
nice one yes,0
that truck is old and battered,1
I think we should leave it in the garage,1
hm,0
Adam did,2
I thought you said Mr Cromer did,2
but Adam broke the wagon didn't he,2
the truck rather,0
what,0
two break,0
two in the garage,0
you have three,2
two good ones,0
we'll leave that other one over there in the garage alright,3
that's not much good,1
those two are alright,1
hm,0
what came from there,2
isn't that where the door was,1
where's the door,1
you lost something,2
hm,0
they aren't large enough for you to sit on and ride,1
too big,0
oh it's a little broken,1
why,0
oh that's better,0
don't sit on this one,1
get your other blue one if you must sit on one,1
that one,0
see it in the garage,1
no,0
I don't think you can ride that one,1
I think the wheel will come off again,1
why don't you ride your other blue one,1
yes the one over by Mr Cromer's shoe,0
you fell down,2
did you hurt yourself,2
what did you hurt,2
you hurt your elbow,2
careful honey,0
move over where,1
things,0
two break,0
you mean,0
two are broken,0
where are all the pennies,1
put one where,1
what,0
monkey get the penny,1
did you see the monkey collect pennies,2
that was a long time ago I didn't think he's remember that,2
yes those are Adam's,1
what is that,1
tape recorder,0
recorder,0
there isn't a fire engine there,1
there's just a fireman on a ladder,1
he may be going to help fight fire,1
fire,0
puppy,0
Bambi,0
car,0
bucket,0
careful Adam,0
you're standing on your truck,1
no that truck isn't broken,1
standing on the fireman's truck,1
that's not a fire truck,1
careful Adam,0
wheel,0
just like what,0
two what,0
Daddy,0
where's Daddy,1
right there,0
well who's that,1
Mommy,0
oh you fell down again,2
you're going to ride that,3
ride that if you wanna,1
what's that it's got on,1
where,0
that's his nose,1
huh,0
what,0
parading bag,0
what,0
don't sit on Mr Cromer's briefcase,1
show you a bag,1
what kind of bag,1
is that part of the song,1
I don't know,1
a what,0
you aren't saying parade are you,1
after supper,0
you're missing,1
you hit the trash can,2
yeah,0
where's the other part,1
messed it all up,2
that's right,1
Adam do you remember seeing a parade,1
oh you remember seeing a football game,1
what about a parade,0
that's Riverside Church in New York,1
seals,0
what kind of seals,0
Riverside Church,0
Riverside Church,0
what do you mean seal,1
seal,0
what does a seal look like,1
cat,0
you don't sit on Mr Cromer's briefcase,1
Popeye what,0
waffle,0
waffle walking,0
what would poor Mr Cromer do for something to take his books in,1
you would hafta give him your wagon,1
be careful,1
that's over at the high school,1
you fell down where,2
you fell off what,2
you fell off what,2
you fell down,2
what were you riding when you fell down,2
no that's his pen,1
alright you write,1
on your side,0
a what,0
walker,0
like little Ricky's walker,0
maybe that's a baby walker,1
did you hurt yourself,2
Adam hurt himself,2
what are you doing in there,1
he doesn't have a pocket does he,1
you give it to him and let him put it in his own pocket,1
you hafta take them out first,1
Adam you've got dirty hands,2
what did you do to your hands,2
that's his eyebrow,1
Adam has a nose,1
eye,0
what have you got in there,1
what do you have in there,1
apple what,0
oh afterwards,0
was that other word afterwards,2
no you can't play with the flashlight,1
Daddy's flashlight,0
what is that,1
whose boot is that,1
Adam's,0
you fell down getting your boot,2
you're sleepy,1
wake up Adam,1
you're laughing,1
what are you laughing about,1
what are you laughing about,1
you put it on by yourself,1
no you come over here,1
don't push the microphone,1
next to Adam,0
you put it on by yourself,1
that's your boot,1
what happened,2
how did you hurt your head,2
Adam did,2
how did Adam hurt his head,2
no that wasn't Daddy's car,2
oh he can't bite you,1
what do you mean,1
that's his tongue,1
I think this is called a bit,1
bless you,1
he won't bite,3
he's a nice little horse,1
that's his nose,1
pretty,0
he has a nose too,1
horsie has a nose too,1
pig has a ribbon on,1
what are you looking for,1
we dropped it,2
you wanna ride the truck,1
why don't you ride your fire truck for a little while,1
you haven't see it for a long time,2
it's too big,1
you wanna ride that,1
Adam will you say excuse me please,3
