Sentence,Tense,Verb
it's just from the rug honey,1,s
oh turning like a windmill,0,None
what else has wings like that,1,has
fish,0,None
hammer,0,None
oh here it is,1,is
what is that,1,is
part of your car,0,None
what,0,None
poor Adam,0,None
did you hurt yourself,2,did
screw happened,2,happened
you didn't even have a screw,2,didn't
you didn't have a screw,2,didn't
you peekaboo back out in the kitchen with your juice,1,peekaboo
is that juice,1,is
table,0,None
get broom,1,get
what's all_gone,1,s
collar,0,None
color,0,None
kitty,0,None
oh you're going to draw a picture,1,re
no it's not broken,1,s
one at a time,0,None
one at a time,0,None
well he doesn't want that paper,1,doesn't
he has some nice paper,1,has
just checking,0,None
does it fit there,1,does
does it fit that way,1,does
does boy,1,does
go out in the kitchen,1,go
and get a napkin,1,get
and wipe it off,1,wipe
where did you put it,2,did
no Adam I'll hafta take the flute away if you do that,3,ll
if you do that,1,do
it's not hollow all the way down,1,s
look in that way and it's hollow,1,look
and it's hollow,1,s
it doesn't come out down there at the other end,1,doesn't
how many ends does it have,1,does
it doesn't belong there ,1,doesn't
just because there is a little hole,1,is
a little hole,0,None
that doesn't belong there either,1,doesn't
you spilled your juice,2,spilled
no,0,None
tell Ursula ,1,tell
you're sorry,1,re
what did you put it in the suitcase for,2,did
shall we do a game,1,shall
yes,0,None
sit on the rug,1,sit
she dropped the papers,2,dropped
his face cloth got stuck in the drain,2,got
it got stuck in the drain,2,got
what is that,1,is
are those too many Adam,1,are
what is that,1,is
is that the way it goes,1,is
do you have a bed like that,1,do
you saw the pictures,2,saw
who is that,1,is
where did you see a giraffe last night,2,did
in the kitchen,0,None
no you saw a giraffe on the television,2,saw
what is that,1,is
that's a kangaroo,1,s
what is that,1,is
what is that,1,is
sitting on what,0,None
something that's cold,1,s
ice,0,None
what is that,1,is
pliers,0,None
here's a leopard,1,s
look at this,1,look
that's a reindeer,1,s
what did you say that was,2,did
that was,2,was
what is that,1,is
what is that,1,is
what,0,None
roller,0,None
what is this,1,is
oh taking a shower,0,None
that's a lion,1,s
hungry lion yes,0,None
that's right,1,s
he jumped up in the air and turned around and ran away as fast as he could go,2,jumped
and turned around and ran away as fast as he could go,2,turned
and ran away as fast as he could go,2,ran
what did you say those were,2,did
penguins,0,None
what is that,1,is
oh close the mouth,1,close
that's a hippopotamus,1,s
that's a porcupine,1,s
that's a knife now,1,s
what does the knife do,1,does
cock_a_doodle_doo,0,None
who says cock_a_doodle_doo,1,says
who is that,1,is
that's a monkey,1,s
what is the monkey eating,1,is
eating crayon,0,None
what is this,1,is
rhinoceros,0,None
what is he,1,is
that's a fox,1,s
what's that,1,s
what is he,1,is
that's a panda,1,s
what's that,1,s
what is that,1,is
his legs are strong,1,are
sing a song,1,sing
I don't think,1,don't
that car is broken,1,is
what are you doing,1,are
oh,0,None
fixing the shoe,0,None
who fixes shoes,1,fixes
who me tickle,1,tickle
who tickle me,1,tickle
I tickle you,1,tickle
what's that,1,s
do you know his name,1,do
no name,0,None
is that pretty,1,is
what is that,1,is
what is that,1,is
trunk,0,None
that's the elephant's trunk,1,s
where are his feet,1,are
how many feet,0,None
how many eyes,0,None
ten eyes,0,None
oh my that elephant can see everything can't he,1,can
yes you did miss,2,did
yes you missed,2,missed
what happened,2,happened
oh is that a train whistle,1,is
what's its name,1,s
oh it's a horn,1,s
hole,0,None
that's what makes it whistle,1,s
what makes it whistle,1,makes
is that a pipe,1,is
there's a shell on the end,1,s
no,0,None
he's checking his watch,1,s
make a noise,1,make
go and ask Ursula about that,1,go
and ask Ursula about that,1,ask
what happened to the paper,2,happened
kangaroo,0,None
who had a whistle like that,2,had
no it's tape,1,s
how many are there,1,are
oh no she doesn't need that now,1,doesn't
jack yes,0,None
where are the pennies,1,are
you don't know,1,don't
I don't know,1,don't
I hear them but I don't see them,1,hear
but I don't see them,1,don't
you'd forgotten you had the cap on top,2,d
you had the cap on top,2,had
potato,0,None
potato,0,None
turkey pie,0,None
what about turkey pie,0,None
it was hot and he put it in the refrigerator the cup,2,was
he put it in the refrigerator the cup,2,put
sardines,0,None
no not sardines sardines,0,None
what about turkey pie,0,None
do you like turkey pie,1,do
turkey pie,0,None
turkey pie,0,None
did you find the penny,2,did
no,0,None
don't touch,1,don't
don't touch that,1,don't
no Adam,0,None
what is the reel of tape doing,1,is
it's going around,1,s
down first,0,None
turkey pine go,1,go
turkey pine for,0,None
what's that,1,s
a star yes,0,None
not Texaco star,0,None
all stars don't belong to Texaco,1,don't
what's this,1,s
what's that,1,s
apple cider,0,None
what are those,1,are
corn,0,None
what's this,1,s
Chicken_Little,0,None
that's not Chicken_Little,1,s
apple cider,0,None
what's that,1,s
you've never seen one of those have you,1,ve
spider yes,0,None
spider in the book,0,None
potato,0,None
what are you doing Adam,1,are
shopping,0,None
what did you say,2,did
cranberry what,0,None
would you like some cranberry juice,1,would
would you like some,1,would
did you ask Ursula about the shell,2,did
the coffee pot,0,None
oh is this a train whistle,1,is
what does the train whistle tell you to do,1,does
tell you to do,1,tell
where did you get my thread,2,did
where did you get it,2,did
see it yes,1,see
but don't take it off,1,don't
no play with that hurt self,1,play
that hurt self,1,hurt
why will I hurt myself if you won't hurt yourself,3,will
if you won't hurt yourself,3,won't
that's yours,1,s
I'll hurt myself if I play with your toy,3,ll
if I play with your toy,1,play
is that right,1,is
play with mommy's slipper,1,play
what slipper,0,None
people,0,None
did you say thank you to Ursula,2,did
that's not Ursula,1,s
no that's a microphone,1,s
e e o what,0,None
Adam your juice is out here,1,is
play momma's slipper,1,s
who does,1,does
oh the dog,0,None
what's the doggie's name,1,s
what,0,None
the doggie plays with mommy's slipper,1,plays
you going to let the doggie talk on the microphone,0,None
big and strong,0,None
who is big and strong,1,is
Cromer is big and strong,1,is
come from,1,come
who is Joey,1,is
play with momma's slipper,1,play
who plays with momma's slipper,1,plays
who does,1,does
what,0,None
something about feet,0,None
whose feet,0,None
oh,0,None
Cecile,0,None
Cecile,0,None
are you being a little doggie,1,are
oh you're playing with the slipper,1,re
that's a train,1,s
excuse me,1,excuse
where are you going,1,are
she didn't say tape recorder,2,didn't
she said cork,2,said
part of the tape recorder,0,None
tape recorder,0,None
that's not a taper,1,s
it's a tape recorder,1,s
this is a microphone,1,is
no that's tape,1,s
mittens,0,None
you dropped your mittens,2,dropped
you dropped your boots,2,dropped
you dropped your mitten,2,dropped
oh,0,None
that's right,1,s
you dropped your boot,2,dropped
who lost their mittens,2,lost
oh you dropped your boots,2,dropped
roadgrader,0,None
what about a roadgrader,0,None
what's right,1,s
what's right,1,s
careful Adam,0,None
keep mitten on,1,keep
careful honey,0,None
careful of the tape recorder,0,None
tape recorder,0,None
oh that's the mitten,1,s
whose mitten is that,1,is
little boy's mitten,0,None
what's the little boy's name,1,s
little boy sleeping,0,None
what's the little boy's name,1,s
Smith,0,None
where does the little boy live,1,does
lives in a house,1,lives
where's the little boy's house,1,s
right there,0,None
oh,0,None
you're going to put it together,1,re
what are you going to do now,1,are
oh you dropped your mitten,2,dropped
sleeping in the bed,0,None
Adam don't put that back there,1,don't
take your wrench out,1,take
wrench,0,None
didn't Daddy say don't play back there,2,didn't
don't play back there,1,don't
sit here on the side if you wanna,1,sit
no down there,0,None
what's the matter,1,s
where are your pliers,1,are
you're sitting on the cord,1,re
why do you wanna play over there,1,do
what do you have,1,do
well get down and get it,1,get
and get it,1,get
what,0,None
yes Daddy said don't go back there didn't he,2,said
don't go back there didn't he,1,don't
didn't he,2,didn't
yes but it's alright if you drop something,1,s
yes chatter what's the matter with you ,1,s
come out,1,come
poor Adam did you hurt your head,2,did
well did your head belong under there really,2,did
oh your head is still there,1,is
can you tell what happened,1,can
what happened,2,happened
what happened,2,happened
where is the other part of your train,1,is
didn't you drop your pennies on the floor,2,didn't
here it is,1,is
like sookie,0,None
running with bread,0,None
well why don't you take the bread back out to the kitchen,1,don't
Adam,0,None
you imp,0,None
come on choo_choo,1,come
choo_choo,0,None
oh does it stop for a street light,1,does
nine four,0,None
no thank you,1,thank
what is that,1,is
what is that,1,is
talking about the lady,0,None
what lady,0,None
what do seals eat,1,do
eat supper,1,eat
what do they have for supper,1,do
milk,0,None
do they like milk,1,do
I don't think you need any more,1,don't
see the seal I,1,see
can you say that,1,can
see the seal I,1,see
what can you say,1,can
see the seal I,1,see
oh that's right,1,s
sure there,0,None
cowboy's knee is the same way,1,is
close eye,1,close
it's not nice to tell jokes to yourself in company,1,s
trash can,0,None
you dropped it in the trash can,2,dropped
oh no the top didn't fall in,2,didn't
where is the top,1,is
no the top is on the floor,1,is
wears Adam two shirt,1,wears
go to bed,1,go
pliers,0,None
what do you use the pliers for,1,do
oh you use the pliers to cut flowers,1,use
where are the pencils,1,are
right where,0,None
right there where,0,None
where did the pencil go,2,did
why are the pencils in the refrigerator,1,are
one,0,None
one for Adam,0,None
he's trying his new words out,1,s
has Adam two pencils,1,has
cowboy wear boots,1,wear
oh you wear boots,1,wear
where,0,None
in the snow,0,None
you wear mittens in the snow,1,wear
say do you like ham,1,do
Adam can you say this goes Cromer to school,1,can
goes Cromer to school,1,goes
go to Ursula's school,1,go
where is snow mitten,1,is
they're in the drawer upstairs,1,re
upstairs,0,None
where are you going,1,are
get mittens and hat,1,get
where are you going when you get the mittens,1,are
when you get the mittens,1,get
Adam what are you doing,1,are
no what,0,None
oh you don't wanna tell me what you're doing,1,don't
what you're doing,1,re
alright,0,None
same color,0,None
what color is that,1,is
red and blue,0,None
which one is red,1,is
which one is blue,1,is
don't sit on Mr Cromer's briefcase,1,don't
get up,1,get
yes,0,None
up off his suitcase,0,None
what,0,None
who fell down,2,fell
don't you think those things take up lots_of room,1,don't
things take up lots_of room,1,take
pretty seal,0,None
yes he's pretty,1,s
there it is,1,is
what's Catherine doing,1,s
Catherine's eye,0,None
you knocked the seal over,2,knocked
you hafta pour the water out,1,hafta
thank you,1,thank
does this make a noise when you pour it,1,does
when you pour it,1,pour
nothing,0,None
Cromer isn't doing a thing,1,isn't
carry fire,1,carry
I don't know,1,don't
where is it,1,isn't
fire,0,None
oh,0,None
mittens on,0,None
you're saying no now,1,re
Peter Piper picked,2,picked
what are you doing,1,are
you didn't say fight fire did you,2,didn't
it sounded like freight,2,sounded
the chair,0,None
people take wood and put it together and make a chair,1,take
and put it together and make a chair,1,put
and make a chair,1,make
you need a saw,1,need
you need carpenter's tools,1,need
what happened to the hammer,2,happened
where you going to put it,0,None
where's the top to it,1,s
I see your hammer,1,see
rock a bye baby in the treetop,1,rock
do you wanna sing a song for Ursula and Cromer,1,do
don't stand on the chair,1,don't
you'll break if it you stand on it that way,3,ll
if it you stand on it that way,1,stand
oh it's an airplane,1,s
oh is there a nail there,1,is
your book is in the same place,1,is
is there a nail there,1,is
I don't think there is one here,1,don't
don't get on the chair,1,don't
you'll break it,3,ll
what did Mommy say,2,did
you didn't hit your nose ,2,didn't
you hit your mouth,2,hit
you sit on the chair ,1,sit
and I'll rock you,3,ll
I can't rock in this,1,can't
if you sit in that chair,1,sit
yes because I moved the coffee pot and it hit your head,2,moved
and it hit your head,2,hit
you're going to show her something in the bag,3,re going to
don't you have something to show her,1,don't
don't go in her bag,1,don't
I think she has everything out to show you,1,think
she has everything out to show you,1,has
what is it Adam,1,is
fire engine,0,None
do you think maybe Robin put that in her bag,1,think
maybe Robin put that in her bag,2,put
that's Ursula's,1,s
there's your pencil,1,s
talk to Ursula Mommy,1,talk
don't you have something to tell her,1,don't
how can she write when you're on her paper,1,can
when you're on her paper,1,re
no Adam,0,None
Yogi's riding in the car,1,s
what color is the car,1,is
orange,0,None
what is that up there,1,is
friend's bicycle,0,None
no that's a car,1,s
what's on the other side,1,s
no that's not Yogi,1,s
those are two other bears,1,are
that's a disk,1,s
a disk from a game,0,None
from a game,0,None
part of a game,0,None
that's probably David's game,1,s
it's at his house so he can play with it,1,s
so he can play with it,1,can
David is Ursula's little boy,1,is
well maybe he doesn't play football,1,doesn't
he's probably too little to play football,1,s
can you tell them about the football game you saw Sunday in the rain,1,can
the football game you saw Sunday in the rain,2,saw
it was raining,2,was
were the men clean or dirty,2,were
clean,0,None
when they fell down what happened,2,fell
what happened,2,happened
he does look like Yogi,1,does
boots catch water in the rain,1,catch
wear mittens in the snow,1,wear
Adam I'm sure you didn't say ride on a ship,2,m
you didn't say ride on a ship,2,didn't
what did you say,2,did 
ship,0,None
oh boat,0,None
you mean boat ship,1,mean
that's not my hair,1,s
what is that,1,is
that's not a pin,1,s
look at it,1,look
two same way,0,None
that's an orange seed,1,s
what did you make the noise for,2,did
you're jabbering,1,re
when it snows you'll wear mittens in the snow,1,snows
you'll wear mittens in the snow,3,ll
wear mittens in the snow,1,wear
Adam can you say,1,can
I don't wear mittens,1,don't
when it snows,1,snows
in the snow,0,None
where will you go in the snow,3,will
the mittens will go in the snow,3,will
well where will you go,3,will
go in the street,1,go
go in the street trying to find the moon,1,go
what's in there,1,s
when did you put the pencil in there,2,did
yesterday,0,None
is it alright,1,is
you ran into Mr Cromer's feet,2,ran
that's right,1,s
did you hit something,2,did
that's a round disk,1,s
round disk,0,None
poor David because he lost a piece,2,lost
did I throw it away or did his Mommy throw it away,2,did
or did his Mommy throw it away,2,did
no one has thrown it away,1,has
David has fun when he plays,1,has
when he plays,1,plays
yes,0,None
little boy play with David,1,play
piece of pie,0,None
d three ten,0,None
is that your license number,1,is
if you want it to,1,want
one is a car and one is a what,1,is
and one is a what,1,is
oh,0,None
Adam dropped the choo_choo train,2,dropped
you're going to build the house,3,re going to
oh you're going to build another house,3,ll
oh you made a street light,2,made
you're looking for what,1,re
for what,0,None
oh,0,None
looking for Cromer,0,None
did you find him,2,did
find him,1,find
no you didn't,2,didn't
didn't,2,didn't
little seed,0,None
ice,0,None
that's good ice,1,s
mine's lemon,0,None
what kind of ice is yours,1,is
you dropped it,2,dropped
it's so tiny you hafta be careful,1,s
you hafta be careful,1,hafta
it's gone down the street,1,s
did you see that one,2,did
looks like Adam's truck,1,looks
too tiny,0,None
careful Adam,0,None
you what,0,None
do it again,1,do
oh silly peekaboo,0,None
you a jack,0,None
this is a fire hydrant,1,is
no just pretend,1,pretend
don't put it in your mouth,1,don't
don't do that,1,don't
track train,0,None
train track,0,None
no,0,None
put them back on the board,1,put
yes,0,None
over here on the train track,0,None
yes,0,None
yes the train is coming over to the tracks,1,is
come on,1,come
put the trains back on the table,1,put
ball,0,None
where,0,None
can you get it,1,can
I don't see a ball,1,don't
where,0,None
ball,0,None
careful,0,None
did you find it,2,did
shame on me,0,None
who bit the doggie's boot,2,bit
nineteen twelve,0,None
oh cowboy spills milk,1,spills
in his boot,0,None
the doggie bit you in your boot,2,bit
doggie bit me shame,2,bit
would you show that to Ursula,1,would
what about the milk in the boots,0,None
no dipping vat,0,None
what,0,None
sleeping dinosaur,0,None
that's heavy,1,s
what's heavy,1,s
does he have spurs,1,does
no she said draw a boot on the paper,2,said
no she didn't say draw on a boot she said draw a boot on the paper,2,didn't
that's right,1,s
draw a boot on the paper,1,draw
but you're drawing on the boot,1,re
little what,0,None
what about the little doggie,0,None
did you break the pencil,2,did
where did you get that,2,did
nineteen twelve,0,None
what does that mean,1,does
talking to Mr,0,None
Cromer nineteen twelve huh,0,None
ouch doggie,0,None
there was something else that was shaped like this and he read it like a grocery list,2,was
that was shaped like this and he read it like a grocery list,2,was
and he read it like a grocery list,2,read
who,0,None
oh after supper,0,None
thank you,1,thank
does everybody have ice,1,does
the doggie ate all of his ice,2,ate
he likes ice,1,likes
oh just like the cowboy's,0,None
listen to what,1,listen
go pick them up,1,go
okay pick those up,1,pick
we'll put them up now,3,ll
don't put them on the floor Adam,1,don't
oh that's for the doggie,1,s
no now pick the doggie's up,1,pick
he's finished,1,s
can you tell me a story about nineteen twelve,1,can
oh you fell down,2,fell
did you hurt yourself,2,did
where did you hurt yourself,2,did
you fell down on Mommy's rug,2,fell
play with cowboy's cigarette,1,play
you dropped some under the table,2,dropped
see those,1,see
oh that one,0,None
what for,0,None
this,0,None
cowboy,0,None
branding a cow,0,None
rodeo,0,None
yes it is heavy,1,is
part of the fun of being a cowboy is to ride a cow horse,1,is
oh I'm the cowhorse and you're the cowboy,1,m
and you're the cowboy,1,re
what are you laughing about,1,are
cowboy what about the grin,0,None
www,0,None
what is that nineteen twelve,1,is
no,0,None
are you going to draw a picture for us,1,are
oh Cecile and Catherine,0,None
Cecile and Catherine,0,None
they're his baby,1,re
you're talking about the cowboy,1,re
a children's program,0,None
he said,2,said
Daddy's Gil Smith talking about roadgrader,1,s
I don't know what all the other was,1,don't
what a pretty butterfly,0,None
oh I scratched my arm with the needle,2,scratched
yeah,0,None
you dropped your pencil,2,dropped
Adam touching paper,0,None
the other was something about Christmas and Adam eats peas,2,was
and Adam eats peas,1,eats
no Adam where are you going,1,are
what are you doing Adam Smith,1,are
what are you talking about a roadgrader for,1,are
what,0,None
fell down on his face,2,fell
what,0,None
llama,0,None
beep beep pencil,0,None
what is the cowboy's name,1,is
named what,0,None
what's the cowboy's name,1,s
what about the taper,0,None
oh you're waking up,1,re
boot on,0,None
you're tired,1,re
are you ready to go to bed,1,are
oh you made a mistake did you and said yes,2,made
did you,2,did
and said yes,2,said
time to go to bed,0,None
oh why not,0,None
why aren't you ready to go to bed,1,aren't
well take one back to her,1,take
give her one that's good,1,give
yeah she needs that,1,needs
I thought you said that pencil was no good,2,thought
you said that pencil was no good,2,said
that pencil was no good,2,was
Adam you put it through the paper,2,put
look at the back of the paper,1,look
the paper is torn,1,is
why don't you come over here and do that to your paper,1,don't
and do that to your paper,1,do 
mhm,0,None
is that a tunnel,1,is
it's a tunnel,1,s
a tunnel,0,None
it's still there,1,s
you took the pencils out,2,took
no,0,None
because that's part of this toy,1,s
you put the pencils on the floor,2,put
my_goodness how many pencils do you have,1,do
he doesn't watch Bozo,1,doesn't
and his nose doesn't squeak like Bozo's,1,doesn't
you what,0,None
wait let me tie it,1,wait
let me tie it,1,let
I've got a dripping mouth,1,ve
fasten the button,1,fasten
he doesn't wanna blow,1,doesn't
you blow,1,blow
no Adam,0,None
you blow it,1,blow
now put it down,1,put
what,0,None
I don't know,1,don't 
afternoon,0,None
it's afternoon yes,1,s
what do you say Adam,1,do
what's he saying,1,s
what are you doing Adam,1,are
oh mixer,0,None
are you ready for your lunch,1,are
you are,1,are
I don't think so,1,don't
we'll save the sandwich for later,3,ll
what about a bumble bee,0,None
bumble bee standing on Cromer's feet,0,None
are you in a parade or in a band,1,are
what happens if you turn around like that,1,happens
if you turn around like that,1,turn
you broke your horn,2,broke
mhm,0,None
see where you broke your horn,1,see
where you broke your horn,2,broke
no here,0,None
yes you broke it,2,broke
yes you fell down and broke your horn didn't you,2,fell
and broke your horn didn't you,2,broke
didn't you,2,didn't
you've broken it,1,ve
what is that,1,is
you put them in your bank remember,2,put
and it broke your bank,1,broke
he broke his bank and he's showing it to you,2,broke
and he's showing it to you,1,s
is that a penny,1,is
he calls a dime diamond,1,calls
heavy,0,None
you what,0,None
what are you doing,1,are
oh you're painting,1,re
what color,0,None
green,0,None
no you don't play with that,1,don't
that's a can opener,1,s
opener,0,None
you don't play with it,1,don't
why don't you play with it,1,don't
it's sharp,1,s
like a knife,0,None
no Adam,0,None
no,0,None
don't put that in your mouth,1,don't
do you want Mommy to take it and put it up,1,don't
you made it all up,2,made
hit me ball,1,hit
pick your cowboy book up,1,pick
you'll break it,3,will
then what will you do,3,will
then what will you do if you tear your cowboy book up,3,will
if you tear your cowboy book up,1,tear
laughing about what,0,None
laughing about Cromer,0,None
flamingo,0,None
birdies fly,1,fly
you're singing a song,1,re
what song are you singing,1,are
banana,0,None
can you sing it for me,1,sing
don't do that again Adam,1,don't
don't do that again,1,don't
okay don't do it again,1,don't
you're singing a banana song,1,re
where are you going to blow,3,are you going to
he's correcting your pronunciation,1,s
drawing a cowboy,0,None
does he have boots,1,does
number train,0,None
Adam what are you doing,1,are
you're going up the hill,1,re
he hasta write with that,1,hasta
you've got paper over here,1,ve
you hurt your arm,2,hurt
you hafta be careful,1,hafta
Adam what are you doing,1,are
what are you doing with the hot water,1,are
what do you want water for,1,do
no you put that back,1,put
what do you want more for,1,do
mhm piece of paper,0,None
what is it,1,is
baby pig,0,None
the other was a cow I think,2,was
I think,1,think
oh maybe so,0,None
moo cow,0,None
seal,0,None
strong as Mickey Mouse,0,None
penguin,0,None
doggie,0,None
doggie right there,0,None
cowboy too,0,None
look somebody find something,1,look
push that there,1,push
blow nose,1,blow
no,0,None
his nose won't squeak,3,won't
no,0,None
her nose won't squeak either,3,won't
Adam,0,None
no he's not Bozo,1,s
Adam no honey,0,None
squeeze your own,1,squeeze
let's hear your nose squeak,1,s
Adam no his nose doesn't squeak,1,doesn't
tickle he's not ticklish,1,s
push what,1,push
down cheek,0,None
Adam play,1,play
can you tell Mr Cromer what you rode on,1,can
what you rode on,2,rode
what did you ride on,2,did
not write ride,1,write
taxi car and what else,0,None
you rode on tippy,2,rode
what is tippy,1,is
Bozo Popeye,0,None
can you tell Mr Cromer about the train and about the airplane,1,can
what,0,None
chocolate,0,None
have some chocolate,1,have
chocolate in there,0,None
have some drink it,1,have
play squirrel,1,play
we saw some squirrels outside playing this morning,2,saw
Adam where were the squirrels playing,2,were
did you tell her that you didn't like it,2,did
that you didn't like it,2,didn't
no you wanted to take it off didn't you,2,wanted
didn't you,2,didn't
the airplane was ready yes,2,was
what else do you remember about the airplane,1,do
nothing,0,None
tickling again,0,None
do you remember what was going around and around on the airplane,1,do
what was going around and around on the airplane,2,was
oh what happened,2,happened
you knocked it off,2,knocked
what did you did,2,did
Adam did,2,did
what is that,1,is
what is the pencil of Cromer doing,1,is
nothing you have it in your hand,1,have
why don't you give it back to Mr Cromer,1,don't
what,0,None
who brought that,2,brought
Ursula brought that,2,brought
I don't know why he's remembering who brought what all of a sudden,1,don't
why he's remembering who brought what all of a sudden,1,s
who brought what all of a sudden,2,brought
careful,0,None
what happened,2,happened
careful,0,None
what,0,None
after supper ball,0,None
careful Adam you don't throw the ball when Ursula's not looking,1,don't
when Ursula's not looking,1,s
tugboat,0,None
meow,0,None
what's the name of that book,1,s
kittens,0,None
buckets,0,None
bumble bee,0,None
what color is this,1,is
the sun fall down,1,fall
well yes it looks like it,1,looks
eating supper,0,None
do you remember what they're having for supper,1,do
what they're having for supper,1,re
not cranberries,0,None
plums,0,None
how about this one,0,None
kitty's foot,0,None
it's a kitty,1,s
the pants,0,None
that's a kitty's foot,1,s
those are his paws,1,are
what is that,1,is
I think that's still the sun,1,s
and what is this,1,is
what do you see when you're standing up and the sun is shining,1,do
when you're standing up and the sun is shining,1,re
these are the buildings and what is this,1,are
and what is this,1,is
paper towels,0,None
no let him write,1,let
alright,0,None
where did it go,2,did
what,0,None
cowboy's got the boot on,1,s
he's got the boots on,2,s
no what,0,None
careful Adam,0,None
what happened,2,happened
fell down,2,fell
you're going to hurt yourself,1,re
I see some pennies that you dropped from your pocket,1,see
you dropped from your pocket,2,dropped
pennies in there,0,None
I don't think so,1,don't
I see some pennies on the floor,1,see
you dropped them,2,dropped
them,0,None
don't tear the paper Adam,1,don't
proper,0,None
he hasta get it proper,1,hasta
you dropped it,2,dropped
Adam I thought you were to write on the other side while he's writing on that side,2,thought
you were to write on the other side while he's writing on that side,2,were
while he's writing on that side,1,s
you write on the other side,1,write
yes that's your side,1,s
no that's Mr Cromer's side,1,s
you picked a side,2,picked
why don't you write with this pen,1,don't
no,0,None
why not,0,None
wake up,1,wake
what kinds of eggs are those,1,are
oh those are dancing eggs,1,are
alright you're a dancing Easter egg,1,re
what happened to this one,2,happened
no don't write in your book,1,don't
what,0,None
something jump,1,jump
airplane jump,1,jump
who jumps from the airplane,1,jumps
what happens when you turn around,1,happens
when you turn around,1,turn
airplane goes around like that,1,goes
you're dripping,1,re
you lost a shoe,2,lost
pen,0,None
that is pencil,1,is
pen,0,None
what,0,None
you'll get dizzy again,3,ll
you're going to fall,3,re going to
fall soon,1,fall
soon,0,None
fall shoes,1,fall
what do you mean,1,do
Cromer fall shoes,1,fall
that's your car,1,s
you jumped,2,jumped
what about what,0,None
two cars,0,None
how many trucks,0,None
look seat,1,look
cowboy fell down,2,fell
what happened,2,happened
yeah go on,1,go
that's right,1,s
oh you're stopped for a street light,1,re
how can you drive three trucks and take a horse too,1,can
and take a horse too,1,take
four trucks,0,None
where's your fourth truck,1,s
what about the one you're sitting on,1,re
broken,0,None
the one you're sitting on is broken,1,re
the one is broken,1,is
flower,0,None
hammer,0,None
you put it together again,2,put
you're a big boy,1,re
Adam's Adam's what,0,None
then,0,None
en,0,None
now put them on while it's on its side,1,put
press it down,1,press
is it on properly,1,is
doughnut,0,None
press it down there,1,press
that's right,1,s
wheels in the air,0,None
now what do you hafta do,1,do
trash truck broken,0,None
what kind of truck is broken,1,is
this truck,0,None
you hafta take one off to put it on,1,hafta
on,0,None
now put it through,1,put
press hard,1,press
sitting,0,None
you're going to sit on it,1,re
wheel broken,0,None
no I don't think it's broken now,1,don't
it's broken now,1,s
no I don't think that one's broken,1,don't
that one's broken,1,s
no that's not broken now either,1,s
either,0,None
why don't you move your horse before you break it,1,don't
before you break it,1,break
horsie's crying,1,s
why is he crying,1,is
playing,0,None
racket playing,0,None
racket pushing,0,None
you're pushing it with the racket,1,re
oh you're pushing it through the tunnel,1,re
let's turn it on its back like they do at the garage,1,let's
like they do at the garage,1,do
yes you missed it,2,missed
oh is that your garage,1,is
can you say,1,can
excuse me please,1,excuse
good morning who,0,None
I you are,1,are
oops,0,None
what happened,2,happened
you picked some things up then,2,picked
you picked some things up there,2,picked
you naughty are,1,are
Adam wouldn't you like to ride on the blue truck instead of the red one,1,wouldn't
you're sitting on the red one,1,re
wouldn't you like to sit on the blue one,1,wouldn't
that's the blue,1,s
the wheel from the blue one won't come off,3,won't
yes you fell down,2,fell
you fell down on the blue one,2,fell
you're riding over your book,1,re
what,0,None
what,0,None
garage oh I'm sorry,1,m
go in there,1,go
no that's red,1,s
the other one's the yellow one,1,s
perhaps you shouldn't ride that one because the wheels seem to come off too easily,1,shouldn't
pinwheel,0,None
that's your new garage,1,s
that's a nice one,1,s
nice one yes,0,None
that truck is old and battered,1,is
I think we should leave it in the garage,1,think
we should leave it in the garage,1,should
hm,0,None
Adam did,2,did
I thought you said Mr Cromer did,2,thought
you said Mr Cromer did,2,said
Mr Cromer did,2,did
but Adam broke the wagon didn't he,2,broke
didn't he,2,didn't
the truck rather,0,None
what,0,None
two break,0,None
two in the garage,0,None
you have three,1,have
two good ones,0,None
we'll leave that other one over there in the garage alright,3,ll
that's not much good,1,s
those two are alright,1,are
hm,0,None
what came from there,2,came
isn't that where the door was,1,isn't
where the door was,2,was
where's the door,1,s
you lost something,2,lost
hm,0,None
they aren't large enough for you to sit on and ride,1,aren't
too big,0,None
oh it's a little broken,1,s
why,0,None
oh that's better,1,s
don't sit on this one,1,don't
get your other blue one if you must sit on one,1,get
if you must sit on one,1,must
that one,0,None
see it in the garage,1,see
no,0,None
I don't think you can ride that one,1,don't
you can ride that one,1,can
I think the wheel will come off again,1,think
the wheel will come off again,3,will
why don't you ride your other blue one,1,don't
yes the one over by Mr Cromer's shoe,0,None
you fell down,2,fell
did you hurt yourself,2,did
what did you hurt,2,did
you hurt your elbow,2,hurt
careful honey,0,None
move over where,1,move
things,0,None
two break,0,None
you mean,0,None
two are broken,1,are
where are all the pennies,1,are
put one where,1,put
what,0,None
monkey get the penny,1,get
did you see the monkey collect pennies,2,did
that was a long time ago,2,was
I didn't think he's remember that,2,didn't
yes those are Adam's,1,are
what is that,1,is
tape recorder,0,None
recorder,0,None
there isn't a fire engine there,1,isn't
there's just a fireman on a ladder,1,s
he may be going to help fight fire,1,may
fire,0,None
puppy,0,None
Bambi,0,None
car,0,None
bucket,0,None
careful Adam,0,None
you're standing on your truck,1,re
